Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,Elite%
FWD,491,Igor Jesus,6.0,6.0,NFO,66,3.28,63,2.62,60,2.92,59,2.54,58,3.20,57,2.70,55,2.17,54,2.72,56,2.52,54,2.34,4.5%
FWD,492,Awoniyi,5.5,5.5,NFO,8,0.58,10,0.55,11,0.72,11,0.64,12,0.87,13,0.78,14,0.70,16,1.02,13,0.74,15,0.80,0.4%
FWD,493,Kalimuendo,5.5,5.5,NFO,4,0.31,5,0.31,5,0.34,6,0.38,6,0.44,7,0.45,8,0.45,7,0.49,8,0.47,8,0.45,0.1%
GKP,494,Vicario,4.5,4.5,TOT,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1.6%
GKP,495,Austin,4.0,4.0,TOT,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.6%
GKP,496,Kinsky,4.5,4.5,TOT,94,3.27,92,3.30,92,3.38,89,3.54,90,3.22,87,2.82,86,3.60,85,2.77,86,3.35,84,3.00,17.4%
GKP,497,Dubravka,4.0,4.0,TOT,1,0.05,3,0.10,3,0.11,6,0.24,5,0.20,7,0.24,9,0.38,10,0.35,9,0.36,11,0.38,24.9%
DEF,498,Senesi,6.0,6.0,TOT,47,1.97,48,2.19,50,2.20,54,2.68,51,2.21,52,1.72,52,2.92,53,1.80,51,2.55,53,2.38,11.2%
DEF,499,Pedro Porro,5.5,5.5,TOT,90,3.73,87,4.06,84,3.78,82,4.41,80,3.66,77,2.52,74,4.55,76,2.56,74,3.98,76,3.34,24.0%
DEF,500,Romero,5.0,5.0,TOT,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1.0%
DEF,501,Danso,5.0,5.0,TOT,8,0.34,10,0.46,14,0.60,15,0.76,17,0.75,18,0.65,21,1.12,20,0.69,22,1.12,22,0.99,0.2%
DEF,502,Robertson,4.5,4.5,TOT,15,0.58,17,0.74,17,0.69,17,0.78,20,0.85,21,0.67,19,1.07,19,0.62,21,1.01,22,0.90,1.7%
DEF,503,Van de Ven,5.0,5.0,TOT,81,2.73,77,2.87,76,2.72,73,3.12,73,2.65,69,1.81,71,3.44,72,1.90,70,2.98,68,2.47,6.3%
DEF,504,Vuskovic,5.0,5.0,BHA,63,2.94,62,2.26,61,3.18,62,3.41,61,2.47,60,3.09,63,3.31,62,2.24,62,2.12,58,2.97,2.7%
DEF,505,Spence,4.5,4.5,TOT,33,1.26,32,1.34,38,1.47,40,1.83,40,1.62,41,1.24,44,2.32,42,1.29,45,2.06,39,1.54,10.3%
DEF,506,Udogie,4.5,4.5,TOT,47,1.74,47,1.96,44,1.73,42,2.00,42,1.70,41,1.23,39,2.12,41,1.23,40,1.88,40,1.56,0.4%
DEF,507,Phillips,4.5,4.5,TOT,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.1%
DEF,508,Davies,4.0,4.0,TOT,2,0.10,2,0.12,3,0.14,4,0.19,4,0.19,5,0.19,5,0.28,6,0.22,6,0.29,5,0.23,0.7%
DEF,509,Byfield,4.0,4.0,TOT,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.1%
DEF,510,Rowswell,4.0,4.0,TOT,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.1%
DEF,511,Souza,4.0,4.0,TOT,0,0.00,1,0.06,0,0.00,1,0.07,1,0.09,1,0.06,1,0.10,2,0.07,1,0.08,2,0.09,0.3%
MID,512,Kudus,6.5,6.5,TOT,66,3.30,77,4.39,73,3.68,68,3.75,66,3.68,65,2.93,61,3.89,62,2.96,60,3.57,60,3.06,0.3%
MID,513,Xavi,6.0,6.0,TOT,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0.0%
MID,514,Tel,6.0,6.0,TOT,49,2.42,44,2.41,45,2.21,44,2.39,42,2.27,42,1.93,40,2.47,39,1.86,39,2.19,37,1.82,0.3%
MID,515,Maddison,6.5,6.5,TOT,34,1.87,32,1.96,32,1.78,32,1.93,33,2.01,31,1.51,35,2.38,35,1.79,35,2.19,32,1.74,2.4%
MID,516,Bentancur,5.5,5.5,TOT,12,0.48,47,1.95,48,1.85,46,1.92,45,1.78,45,1.62,45,1.96,43,1.57,45,1.93,43,1.68,0.1%
MID,517,Odobert,5.5,5.5,TOT,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,17,0.81,0.0%
MID,518,P.M.Sarr,5.0,5.0,TOT,13,0.62,10,0.53,12,0.56,13,0.64,13,0.62,14,0.58,15,0.73,16,0.68,16,0.77,16,0.73,0.4%
MID,519,Gallagher,5.5,5.5,TOT,56,2.43,45,2.16,48,2.10,46,2.19,46,2.12,45,1.77,42,2.25,44,1.80,42,2.08,44,1.92,0.2%
MID,520,Bergvall,5.5,5.5,TOT,9,0.44,9,0.47,9,0.45,11,0.56,10,0.49,10,0.45,12,0.69,13,0.62,13,0.70,13,0.62,0.2%
MID,521,Kulusevski,6.5,6.5,TOT,3,0.19,7,0.43,11,0.60,18,0.98,26,1.35,35,1.49,36,2.00,37,1.63,37,1.90,34,1.57,0.0%
MID,522,Gray,5.0,5.0,TOT,9,0.39,6,0.31,7,0.35,9,0.40,10,0.43,11,0.43,13,0.58,11,0.44,12,0.51,13,0.52,0.2%
MID,523,Moore,5.0,5.0,TOT,3,0.21,3,0.23,3,0.23,4,0.25,4,0.25,3,0.20,5,0.34,5,0.28,4,0.29,4,0.27,0.1%
MID,524,Olusesi,4.5,4.5,TOT,1,0.07,0,0.00,0,0.00,1,0.06,1,0.08,2,0.08,1,0.07,2,0.09,2,0.11,1,0.08,0.9%
MID,525,Fernandes,6.0,6.0,TOT,83,3.45,72,3.20,69,2.86,70,3.06,68,2.92,67,2.54,67,3.27,64,2.45,62,2.78,63,2.69,4.3%
FWD,526,Solanke,6.0,6.0,TOT,80,4.13,76,4.51,70,3.64,70,4.07,67,3.83,67,3.06,67,4.52,65,3.15,65,3.95,64,3.26,3.0%
FWD,527,Richarlison,6.0,6.0,TOT,45,2.25,43,2.40,46,2.28,44,2.45,45,2.42,45,2.04,45,2.80,44,2.08,46,2.63,43,2.19,1.6%
FWD,528,Scarlett,4.5,4.5,TOT,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.09,0,0.00,1,0.09,0,0.00,1.8%
GKP,529,Roefs,5.0,5.0,SUN,94,3.68,93,3.68,92,3.26,92,3.10,92,2.97,92,3.37,91,3.32,91,3.49,92,3.61,91,3.24,5.6%
GKP,530,Patterson,4.0,4.0,SUN,0,0.00,0,0.00,1,0.05,2,0.06,1,0.04,0,0.00,2,0.07,2,0.09,1,0.06,2,0.06,1.1%
GKP,531,Ellborg,4.5,4.5,SUN,0,0.00,1,0.05,2,0.07,1,0.05,2,0.06,2,0.08,2,0.07,2,0.08,2,0.08,2,0.08,0.1%
DEF,532,Ballard,5.0,5.0,SUN,81,3.77,75,3.45,76,3.08,73,2.62,73,2.08,72,3.01,69,2.81,69,3.29,68,3.42,70,2.50,3.0%
DEF,533,Mukiele,5.5,5.5,SUN,91,3.89,87,3.67,84,2.93,82,2.55,81,2.02,81,3.10,81,2.87,79,3.38,78,3.57,79,2.62,7.8%
DEF,534,Hume,4.5,4.5,SUN,67,2.85,66,2.78,64,2.12,64,1.86,61,1.38,59,2.24,58,1.91,60,2.51,56,2.46,56,1.87,1.4%
DEF,535,Alderete,5.0,5.0,SUN,92,3.98,89,3.69,87,3.28,83,2.72,82,2.21,82,3.19,78,2.94,79,3.49,77,3.65,78,2.55,1.2%
DEF,536,Reinildo,4.5,4.5,SUN,84,3.19,81,3.04,79,2.43,78,2.19,78,1.67,74,2.49,74,2.27,76,2.95,74,2.96,75,2.17,0.5%
DEF,537,Seelt,4.5,4.5,SUN,2,0.09,3,0.13,3,0.14,4,0.15,4,0.13,4,0.19,5,0.20,5,0.23,6,0.26,6,0.25,0.0%
DEF,538,Hjelde,4.0,4.0,SUN,2,0.13,3,0.14,3,0.14,3,0.12,3,0.13,3,0.16,4,0.19,4,0.21,5,0.25,5,0.19,0.3%
DEF,539,O'Nien,4.0,4.0,SUN,5,0.22,7,0.31,8,0.31,10,0.35,12,0.33,11,0.43,14,0.48,13,0.53,14,0.58,12,0.43,2.3%
DEF,540,Masuaku,4.0,4.0,SUN,6,0.30,7,0.35,9,0.35,9,0.35,10,0.32,13,0.54,13,0.50,11,0.51,12,0.54,12,0.48,1.5%
DEF,541,Meunier,4.5,4.5,SUN,9,0.41,15,0.62,16,0.58,19,0.61,21,0.51,22,0.82,23,0.76,23,0.98,24,1.02,23,0.76,0.5%
MID,542,E.Le Fée,6.0,6.0,SUN,88,4.49,86,4.43,82,3.68,82,3.20,83,3.30,81,3.97,78,3.57,81,3.98,78,3.86,78,3.59,10.4%
MID,543,Diarra,5.5,5.5,SUN,44,2.03,47,2.13,53,2.14,53,1.90,53,1.88,53,2.24,54,2.12,54,2.33,57,2.46,55,2.22,0.1%
MID,544,Xhaka,5.5,5.5,SUN,91,3.52,88,3.27,86,3.07,83,2.64,82,2.70,82,2.98,80,2.96,80,3.09,81,3.16,80,2.77,6.2%
MID,545,Sadiki,5.0,5.0,SUN,90,2.98,87,2.82,85,2.62,83,2.35,81,2.37,82,2.56,80,2.53,80,2.62,79,2.62,79,2.35,0.4%
